Carrier,Component,Technology,Value
AC,generators,nuclear,593059298.2383544
AC,generators,offwind-ac,897623795.5350708
AC,generators,offwind-dc,1267921570.644414
AC,generators,offwind-float,544793566.190922
AC,generators,onwind,2711448888.1895943
AC,generators,ror,171423090.8587643
AC,generators,solar,163942507.51008403
AC,generators,solar-hsat,1433995986.5133774
AC,lines,AC0,-10740515.808771469
AC,lines,AC1,-2457346.0412589447
AC,links,DAC0,-85025132.5299352
AC,links,DC0,-1820921062.7850733
AC,links,DC1,1746048637.9508235
AC,links,H2 Electrolysis0,-3855337838.3549204
AC,links,H2 Fuel Cell1,44.38659831372308
AC,links,H2 pipeline2,-4573854.685984344
AC,links,OCGT1,971892.1313401343
AC,links,battery charger0,-63234504.605070196
AC,links,battery discharger1,60705124.42129639
AC,links,electricity distribution grid0,-4155332652.2998333
AC,links,electricity distribution grid1,4565105.682233533
AC,links,methanolisation2,-97196209.39919993
AC,links,urban central forest residues biomass CHP CC1,121953266.28865208
AC,links,urban central forest residues biomass CHP1,126.38047088554104
AC,links,urban central gas CHP CC1,31.801157430971134
AC,links,urban central gas CHP1,37.53283535378812
AC,links,urban central rest product biomass CHP CC1,7512916.349501461
AC,links,urban central rest product biomass CHP1,115.37897539706812
AC,links,urban central waste biomass CHP CC1,63494271.34923327
AC,links,urban central waste biomass CHP1,122.12015693184688
AC,storage_units,PHS,-29120750.42640882
AC,storage_units,hydro,334479471.8417521
EV battery,links,BEV charger1,853349497.9586905
EV battery,links,V2G0,-134492637.0792767
EV battery,loads,land transport EV,-718856860.9012138
EV battery,stores,EV battery,0.02179348101458345
H2,links,Fischer-Tropsch0,-1841511275.655312
H2,links,H2 Electrolysis1,2396863534.105254
H2,links,H2 Fuel Cell0,-88.77319662744615
H2,links,H2 pipeline0,-472222944.03368187
H2,links,H2 pipeline1,472222944.03368187
H2,links,SMR CC1,108.48280976104772
H2,links,SMR1,61.48364053934885
H2,links,Sabatier0,-562.4809634897954
H2,links,methanolisation0,-408241777.6597556
H2,loads,H2 for industry,-147110000.0
H2,stores,H2,-2.684828171459555e-08
agriculture machinery oil,links,agriculture machinery oil1,91957507.47009599
agriculture machinery oil,loads,agriculture machinery oil,-91957507.46988958
battery,links,battery charger1,61956908.168038025
battery,links,battery discharger0,-61956908.16847588
battery,stores,battery,0.0004550075690077579
biogas,links,biogas to gas0,-345549328.13113654
biogas,stores,biogas,345549328.13113654
co2,links,DAC2,-154591150.05442762
co2,links,OCGT2,469352.78537889424
co2,links,SMR CC2,3.112984975751804
co2,links,SMR2,16.018106351040885
co2,links,agriculture machinery oil2,23642275.170561682
co2,links,biogas to gas2,-68418766.96996504
co2,links,coal for industry2,69757245.78800537
co2,links,forest residues biomass for industry CC2,-0.0
co2,links,forest residues biomass for industry2,-0.0
co2,links,gas for industry CC2,10961499.141908567
co2,links,gas for industry2,7.7228601130792285
co2,links,industry methanol2,2194886.039526798
co2,links,kerosene for aviation2,188895330.12947077
co2,links,land transport oil2,255080109.92412648
co2,links,naphtha for industry2,124995867.00001732
co2,links,process emissions CC1,15177999.800326789
co2,links,process emissions1,1.996733737832983
co2,links,rest product biomass for industry CC2,-0.0
co2,links,rest product biomass for industry2,-0.0
co2,links,rural forest residues biomass boiler2,-0.0
co2,links,rural gas boiler2,36.753274090325
co2,links,rural rest product biomass boiler2,-0.0
co2,links,rural waste biomass boiler2,-0.0
co2,links,shipping methanol2,86771669.81369807
co2,links,shipping oil2,44333536.980356835
co2,links,urban central forest residues biomass CHP CC3,-175325450.84897768
co2,links,urban central forest residues biomass CHP3,-0.0
co2,links,urban central gas CHP CC3,1.621922922912855
co2,links,urban central gas CHP3,18.12561317085378
co2,links,urban central gas boiler2,13.235622051271763
co2,links,urban central rest product biomass CHP CC3,-10800903.38088441
co2,links,urban central rest product biomass CHP3,-0.0
co2,links,urban central waste biomass CHP CC3,-91282194.31436016
co2,links,urban central waste biomass CHP3,-0.0
co2,links,urban decentral forest residues biomass boiler2,-0.0
co2,links,urban decentral gas boiler2,13471.453089515557
co2,links,urban decentral rest product biomass boiler2,-0.0
co2,links,urban decentral waste biomass boiler2,-0.0
co2,links,waste biomass for industry CC2,-0.0
co2,links,waste biomass for industry2,-0.0
co2,stores,co2,-321874877.0450814
co2 sequestered,links,co2 sequestered1,200000000.00217557
co2 sequestered,stores,co2 sequestered,-200000000.00217557
co2 stored,links,DAC3,154591150.05442762
co2 stored,links,Fischer-Tropsch2,-378288586.6278137
co2 stored,links,SMR CC3,28.016864781766245
co2 stored,links,Sabatier2,-89.09698461678359
co2 stored,links,co2 sequestered0,-200000000.00217557
co2 stored,links,forest residues biomass for industry CC3,-0.0
co2 stored,links,gas for industry CC3,98653492.27717711
co2 stored,links,methanolisation3,-88966555.89633869
co2 stored,links,process emissions CC2,136601998.20294112
co2 stored,links,rest product biomass for industry CC3,-0.0
co2 stored,links,urban central forest residues biomass CHP CC4,175325450.84897768
co2 stored,links,urban central gas CHP CC4,14.597306306215698
co2 stored,links,urban central rest product biomass CHP CC4,10800903.38088441
co2 stored,links,urban central waste biomass CHP CC4,91282194.31436016
co2 stored,links,waste biomass for industry CC3,-0.0
co2 stored,stores,co2 stored,-3.6088749766349792e-09
coal,generators,coal,207549080.01255858
coal,links,coal for industry0,-207549080.00001603
coal,stores,coal,-0.01254257953405613
coal for industry,links,coal for industry1,207549080.00001603
coal for industry,loads,coal for industry,-207549080.0000001
forest residues biomass,links,forest residues biomass for industry CC0,-0.0
forest residues biomass,links,forest residues biomass for industry0,-0.0
forest residues biomass,links,rural forest residues biomass boiler0,-4348626.32293165
forest residues biomass,links,urban central forest residues biomass CHP CC0,-531240950.3650507
forest residues biomass,links,urban central forest residues biomass CHP0,-468.24924374042627
forest residues biomass,links,urban decentral forest residues biomass boiler0,-124456352.60020965
forest residues biomass,stores,forest residues biomass,660046396.5999167
gas,generators,gas,210500497.906478
gas,links,OCGT0,-2370468.613024718
gas,links,SMR CC0,-157.2214634218083
gas,links,SMR0,-80.89952702545901
gas,links,Sabatier1,449.9847707918363
gas,links,biogas to gas1,345549328.13113654
gas,links,gas for industry CC0,-553611067.77316
gas,links,gas for industry0,-39.00434400545065
gas,links,rural gas boiler0,-185.6225964157828
gas,links,urban central gas CHP CC0,-81.91529913701288
gas,links,urban central gas CHP0,-91.54350086289786
gas,links,urban central gas boiler0,-66.84657601652405
gas,links,urban decentral gas boiler0,-68037.64186624018
gas,stores,gas,1.4521717162097048e-13
gas for industry,links,gas for industry CC1,498249960.99584395
gas for industry,links,gas for industry1,39.00434400545065
gas for industry,loads,gas for industry,-498250000.0000001
home battery,links,home battery charger1,1618.0410389365231
home battery,links,home battery discharger0,-1618.0442412877169
home battery,stores,home battery,0.0032023516417308863
industry methanol,links,industry methanol1,8849999.999976
industry methanol,loads,industry methanol,-8850000.0
kerosene for aviation,links,kerosene for aviation1,734715403.0706758
kerosene for aviation,loads,kerosene for aviation,-734715403.070743
land transport oil,links,land transport oil1,992143562.5209119
land transport oil,loads,land transport oil,-992143562.5208557
low voltage,generators,solar rooftop,1124948903.2811923
low voltage,links,BEV charger0,-948166108.8429894
low voltage,links,V2G1,121043373.37134904
low voltage,links,electricity distribution grid0,-4706294.517766529
low voltage,links,electricity distribution grid1,4030672672.7308383
low voltage,links,home battery charger0,-1651.4062201155211
low voltage,links,home battery discharger1,1585.3531089614607
low voltage,links,rural air heat pump0,-304.4017551858577
low voltage,links,rural ground heat pump0,-298031528.2309429
low voltage,links,rural resistive heater0,-33171893.29423982
low voltage,links,urban central air heat pump0,-301.77033932884103
low voltage,links,urban central resistive heater0,-128713865.42416322
low voltage,links,urban decentral air heat pump0,-547484849.1572629
low voltage,links,urban decentral resistive heater0,-126904464.26524413
low voltage,loads,agriculture electricity,-50058959.595149204
low voltage,loads,electricity,-1637826314.7353425
low voltage,loads,industry electricity,-1501600000.0
methanol,links,industry methanol0,-8849999.999976
methanol,links,methanolisation1,358722050.0296272
methanol,links,shipping methanol0,-349872049.855812
methanol,stores,methanol,-2.064928412437439e-05
naphtha for industry,links,naphtha for industry1,549770000.000076
naphtha for industry,loads,naphtha for industry,-549770000.0
oil,generators,oil,1069655902.9660152
oil,links,Fischer-Tropsch1,1471367509.2485945
oil,links,agriculture machinery oil0,-91957507.47009599
oil,links,kerosene for aviation0,-734715403.0706758
oil,links,land transport oil0,-992143562.5209119
oil,links,naphtha for industry0,-549770000.000076
oil,links,shipping oil0,-172436938.857864
oil,stores,oil,-2.0761042833328247e-05
process emissions,links,naphtha for industry3,16350000.000002265
process emissions,links,process emissions CC0,-151779998.0032679
process emissions,links,process emissions0,-1.996733737832983
process emissions,loads,process emissions,135429999.99999997
rest product biomass,links,rest product biomass for industry CC0,-0.0
rest product biomass,links,rest product biomass for industry0,-0.0
rest product biomass,links,rural rest product biomass boiler0,-13140669.43333483
rest product biomass,links,urban central rest product biomass CHP CC0,-32727035.06009881
rest product biomass,links,urban central rest product biomass CHP0,-427.48786734741805
rest product biomass,links,urban decentral rest product biomass boiler0,-28571185.840307754
rest product biomass,stores,rest product biomass,74439316.88525444
rural heat,generators,rural solar thermal,44.44159697087454
rural heat,links,rural air heat pump1,800.1172943902795
rural heat,links,rural forest residues biomass boiler1,3739818.637721219
rural heat,links,rural gas boiler1,181.91014448746714
rural heat,links,rural ground heat pump1,1009989897.9857287
rural heat,links,rural resistive heater1,29854703.964815836
rural heat,links,rural rest product biomass boiler1,11300975.712667951
rural heat,links,rural waste biomass boiler1,21010598.113855053
rural heat,links,rural water tanks charger0,-105566229.23530835
rural heat,links,rural water tanks discharger1,63055153.777191885
rural heat,loads,agriculture heat,-195728091.3389343
rural heat,loads,rural heat,-837657851.6368095
rural water tanks,links,rural water tanks charger1,88327264.0011825
rural water tanks,links,rural water tanks discharger0,-75361723.17101935
rural water tanks,stores,rural water tanks,-12965540.830163153
shipping methanol,links,shipping methanol1,349872049.855812
shipping methanol,loads,shipping methanol,-349872049.85600376
shipping oil,links,shipping oil1,172436938.857864
shipping oil,loads,shipping oil,-172436938.85760188
solid biomass for industry,links,forest residues biomass for industry CC1,-0.0
solid biomass for industry,links,forest residues biomass for industry1,-0.0
solid biomass for industry,links,rest product biomass for industry CC1,-0.0
solid biomass for industry,links,rest product biomass for industry1,-0.0
solid biomass for industry,links,waste biomass for industry CC1,-0.0
solid biomass for industry,links,waste biomass for industry1,-0.0
solid biomass for industry,loads,solid biomass for industry,0.0
urban central heat,generators,urban central solar thermal,85.27347017075608
urban central heat,links,DAC1,-216427320.26683962
urban central heat,links,Fischer-Tropsch3,278068202.623952
urban central heat,links,H2 Electrolysis2,841620250.1128788
urban central heat,links,H2 Fuel Cell2,39.947938482350764
urban central heat,links,Sabatier3,84.37214452346925
urban central heat,links,methanolisation4,35873618.42352861
urban central heat,links,urban central air heat pump1,798.1602799475625
urban central heat,links,urban central forest residues biomass CHP CC2,465281011.4858252
urban central heat,links,urban central forest residues biomass CHP2,386.07150146398146
urban central heat,links,urban central gas CHP CC2,35.85596473825328
urban central heat,links,urban central gas CHP2,37.53283535378812
urban central heat,links,urban central gas boiler1,69.52043905718502
urban central heat,links,urban central resistive heater1,127426726.7699216
urban central heat,links,urban central rest product biomass CHP CC2,28663580.932966817
urban central heat,links,urban central rest product biomass CHP2,352.4637466279462
urban central heat,links,urban central waste biomass CHP CC2,242245900.38451222
urban central heat,links,urban central waste biomass CHP2,373.05694475845786
urban central heat,links,urban central water tanks charger0,-1034028854.6464735
urban central heat,links,urban central water tanks discharger1,588975954.9460994
urban central heat,loads,low-temperature heat for industry,-82320000.0
urban central heat,loads,urban central heat,-1275381331.8793614
urban central water tanks,links,urban central water tanks charger1,865171942.6827043
urban central water tanks,links,urban central water tanks discharger0,-703927279.7252293
urban central water tanks,stores,urban central water tanks,-161244662.95747507
urban decentral heat,generators,urban decentral solar thermal,47.571035837714405
urban decentral heat,links,DAC1,-289.80935904446983
urban decentral heat,links,urban decentral air heat pump1,1323372458.2436972
urban decentral heat,links,urban decentral forest residues biomass boiler1,107032463.23618029
urban decentral heat,links,urban decentral gas boiler1,66676.88902891538
urban decentral heat,links,urban decentral resistive heater1,114214017.83871973
urban decentral heat,links,urban decentral rest product biomass boiler1,24571219.822664667
urban decentral heat,links,urban decentral waste biomass boiler1,129084530.51885073
urban decentral heat,links,urban decentral water tanks charger0,-159210726.54585615
urban decentral heat,links,urban decentral water tanks discharger1,93085435.12680979
urban decentral heat,loads,urban decentral heat,-1632215831.3205247
urban decentral water tanks,links,urban decentral water tanks charger1,133211614.90091784
urban decentral water tanks,links,urban decentral water tanks discharger0,-111253059.79061766
urban decentral water tanks,stores,urban decentral water tanks,-21958555.110300187
waste biomass,links,rural waste biomass boiler0,-24430928.039366342
waste biomass,links,urban central waste biomass CHP CC0,-276587565.7193593
waste biomass,links,urban central waste biomass CHP0,-452.4644569538603
waste biomass,links,urban decentral waste biomass boiler0,-150098291.3009892
waste biomass,links,waste biomass for industry CC0,-0.0
waste biomass,links,waste biomass for industry0,-0.0
waste biomass,stores,waste biomass,451117236.58606786
